> #summary of model 
> summary(model_gbm)
                                                                                var     rel.inf
SHOT_DIST                                                                 SHOT_DIST 58.57271156
CLOSE_DEF_DIST                                                       CLOSE_DEF_DIST 25.75650712
CLOSEST_DEFENDERBEAL, BRADLEY                         CLOSEST_DEFENDERBEAL, BRADLEY  0.00000000
CLOSEST_DEFENDERBEASLEY, MICHAEL                   CLOSEST_DEFENDERBEASLEY, MICHAEL  0.00000000
CLOSEST_DEFENDERBELINELLI, MARCO                   CLOSEST_DEFENDERBELINELLI, MARCO  0.00000000
CLOSEST_DEFENDERBENNETT, ANTHONY                   CLOSEST_DEFENDERBENNETT, ANTHONY  0.00000000
CLOSEST_DEFENDERBEVERLEY, PATRICK                 CLOSEST_DEFENDERBEVERLEY, PATRICK  0.00000000
CLOSEST_DEFENDERBIYOMBO, BISMACK                   CLOSEST_DEFENDERBIYOMBO, BISMACK  0.00000000
CLOSEST_DEFENDERBLACK, TARIK                           CLOSEST_DEFENDERBLACK, TARIK  0.00000000
CLOSEST_DEFENDERBLAIR, DEJUAN                         CLOSEST_DEFENDERBLAIR, DEJUAN  0.00000000
CLOSEST_DEFENDERBLAKE, STEVE                           CLOSEST_DEFENDERBLAKE, STEVE  0.00000000
CLOSEST_DEFENDERBLEDSOE, ERIC                         CLOSEST_DEFENDERBLEDSOE, ERIC  0.00000000
CLOSEST_DEFENDERBOGDANOVIC, BOJAN                 CLOSEST_DEFENDERBOGDANOVIC, BOJAN  0.00000000
CLOSEST_DEFENDERBONNER, MATT                           CLOSEST_DEFENDERBONNER, MATT  0.00000000
CLOSEST_DEFENDERBOOKER, TREVOR                       CLOSEST_DEFENDERBOOKER, TREVOR  0.00000000
CLOSEST_DEFENDERBOOZER, CARLOS                       CLOSEST_DEFENDERBOOZER, CARLOS  0.00000000
CLOSEST_DEFENDERBOSH, CHRIS                             CLOSEST_DEFENDERBOSH, CHRIS  0.00000000
CLOSEST_DEFENDERBRADLEY, AVERY                       CLOSEST_DEFENDERBRADLEY, AVERY  0.00000000
CLOSEST_DEFENDERBRAND, ELTON                           CLOSEST_DEFENDERBRAND, ELTON  0.00000000
CLOSEST_DEFENDERBREWER, COREY                         CLOSEST_DEFENDERBREWER, COREY  0.00000000
CLOSEST_DEFENDERBROOKS, AARON                         CLOSEST_DEFENDERBROOKS, AARON  0.00000000
CLOSEST_DEFENDERBROWN, LORENZO                       CLOSEST_DEFENDERBROWN, LORENZO  0.00000000
CLOSEST_DEFENDERBROWN, MARKEL                         CLOSEST_DEFENDERBROWN, MARKEL  0.00000000
CLOSEST_DEFENDERBROWN, SHANNON                       CLOSEST_DEFENDERBROWN, SHANNON  0.00000000
CLOSEST_DEFENDERBRYANT, KOBE                           CLOSEST_DEFENDERBRYANT, KOBE  0.00000000
CLOSEST_DEFENDERBUDINGER, CHASE                     CLOSEST_DEFENDERBUDINGER, CHASE  0.00000000
CLOSEST_DEFENDERBULLOCK, REGGIE                     CLOSEST_DEFENDERBULLOCK, REGGIE  0.00000000
CLOSEST_DEFENDERBURKS, ALEC                             CLOSEST_DEFENDERBURKS, ALEC  0.00000000
CLOSEST_DEFENDERBUTLER, CARON                         CLOSEST_DEFENDERBUTLER, CARON  0.00000000
CLOSEST_DEFENDERBUTLER, JIMMY                         CLOSEST_DEFENDERBUTLER, JIMMY  0.00000000
CLOSEST_DEFENDERBUTLER, RASUAL                       CLOSEST_DEFENDERBUTLER, RASUAL  0.00000000
CLOSEST_DEFENDERCABOCLO, BRUNO                       CLOSEST_DEFENDERCABOCLO, BRUNO  0.00000000
