CLOSEST_DEFENDER,player_name,LOCATION,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME
"CARTER, VINCE","DRUMMOND, ANDRE",,,,78,7.8,,7.9
"CARTER-WILLIAMS, MICHAEL","DUDLEY, JARED",,,,79,7.9,,8
"CASSPI, OMRI","DUNCAN, TIM",,,,80,8,,8.1
"CHALMERS, MARIO","ELLINGTON, WAYNE",,,,81,8.1,,8.2
"CHANDLER, TYSON","ELLIS, MNTA",,,,82,8.2,,8.3
"CHANDLER, WILSON","ENNIS, JAMES",,,,83,8.3,,8.4
"CHERRY, WILL","EVANS, TYREKE",,,,84,8.4,,8.5
"CHRISTOPHER, PATRICK","EXUM, DANTE",,,,85,8.5,,8.6
"CLARK, IAN","FARIED, KENNETH",,,,86,8.6,,8.7
"CLARKSON, JORDAN","FARMAR, JORDAN",,,,87,8.7,,8.8
"CLAVER, VICTOR","FAVORS, DERRICK",,,,88,8.8,,8.9
"COLE, NORRIS","FOURNIER, EVAN",,,,89,8.9,,9
"COLLISON, DARREN","FRYE, CHANNING",,,,90,9,,9.1
"COLLISON, NICK","GALLINAI, DANILO",,,,91,9.1,,9.2
"CONLEY, MIKE","GARNETT, KEVIN",,,,92,9.2,,9.3
"COPELAND, CHRIS","GASOL, MARC",,,,93,9.3,,9.4
"COUSINS, DEMARCUS","GASOL, PAU",,,,94,9.4,,9.5
"COVINGTON, ROBERT","GAY, RUDY",,,,95,9.5,,9.6
"CRABBE, ALLEN","GEE, ALONZO",,,,96,9.6,,9.7
"CRAWFORD, JAMAL","GIBSON, TAJ",,,,97,9.7,,9.8
"CROWDER, JAE","GILCHRIST, MICHAEL",,,,98,9.8,,9.9
"CUNNINGHAM, DANTE","GINOBILI, MANU",,,,99,9.9,,10
"CUNNINGHAM, JARED","GOBERT, RUDY",,,,100,10,,10.1
"CURRY, STEPHEN","GORDON, AARON",,,,101,10.1,,10.2
"DALEMBERT, SAMUEL","GORDON, BEN",,,,102,10.2,,10.3
"DANIELS, TROY","GORTAT, MARCIN",,,,103,10.3,,10.4
"DATOME, GIGI","GRANT, JERAMI",,,,104,10.4,,10.5
"DAVIES, BRANDON","GREEN, DANNY",,,,105,10.5,,10.6
"DAVIS, ANTHONY","GREEN, DRAYMOND",,,,106,10.6,,10.7
"DAVIS, ED","GREEN, GERALD",,,,107,10.7,,10.8
"DAVIS, GLEN","GREEN, JEFF",,,,108,10.8,,10.9
"DAWKINS, ANDRE","GRIFFIN, BLAKE",,,,109,10.9,,11
"DAYE, AUSTIN","HANSBROUGH, TYLER",,,,110,11,,11.1
"DEDMON, DEWAYNE","HARDEN, JAMES",,,,111,11.1,,11.2
"DELLAVEDOVA, MATTHEW","HARRIS, DEVIN",,,,112,11.2,,11.3
"DENG, LUOL","HARRIS, JOE",,,,113,11.3,,11.4
"DEROZAN, DEMAR","HARRIS, TOBIAS",,,,114,11.4,,11.5
"DIAW, BORIS","HASLEM, UDONIS",,,,115,11.5,,11.6
"DIENG, GORGUI","HAWES, SPENCER",,,,116,11.6,,11.7
"DINWIDDIE, SPENCER","HAYWARD, GORDON",,,,117,11.7,,11.8
"DORSEY, JOEY","HENDERSON, GERALD",,,,118,11.8,,11.9
"DOS SANTOS, ATILA","HENSON, JOHN",,,,119,11.9,,12
"DOUGLAS, TONEY","HIBBERT, ROY",,,,120,12,,12.1
"DOUGLAS-ROBERTS, CHRIS","HICKSON, JJ",,,,121,12.1,,12.2
"DRAGIC, GORAN","HILARIO, NENE",,,,122,12.2,,12.3
"DRAGIC, ZORAN","HILL, JORDAN",,,,123,12.3,,12.4
"DREW, LARRY","HILL, SOLOMON",,,,124,12.4,,12.5
